# 61,71
# 1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,22,25,28,31,35,39,44,50,56,63,70,79,89,100,112,125,141,158,177,199,223,251,281,316,354,398,446,501,562,630,707,794,891,1000,1122,1258,1412,1584,1778,1995,2238,2511,2818,3162,3548
# 2.7353906726304334e-23,5.536082329540535e-23,1.1204325534231082e-22,2.267612784715262e-22,4.589359462730878e-22,9.288279030761576e-22,1.8798293760574017e-21,3.804535233475417e-21,7.699894749550917e-21,1.5583606279288356e-20,3.153923430992887e-20,6.383139326220322e-20,1.2918661010458747e-19,2.614572450543247e-19,5.291561635997267e-19,1.07094467937731e-18,2.167455630648467e-18,4.386654139372827e-18,8.87802927376172e-18,1.79680005036912e-17,3.6364944532769024e-17,7.359801612871185e-17,1.4895301086465647e-16,3.01461922653523e-16,6.101205358818438e-16,1.2348062568836601e-15,2.4990905933615695e-15,5.057841065358895e-15,1.023642612652167e-14,2.0717222722042907e-14,4.192902014920063e-14,8.48589965102578e-14,1.7174380090695326e-13,3.475875789599025e-13,7.034729894714617e-13,1.423739733153709e-12,2.8814678859007233e-12,5.831724004137766e-12,1.1802666629340491e-11,2.3887094016196213e-11,4.8344435919264845e-11,9.784298093218117e-11,1.9802173167730167e-10,4.0077076396167063e-10,8.111089822614214e-10,1.6415812735483861e-09,3.322351418364897e-09,6.7240161209026445e-09,1.3608552227268665e-08,2.7541976460555664e-08,5.5741452484108745e-08,1.1281360034157354e-07,2.283203586353706e-07,4.6209132595313046e-07,9.3521398966498e-07,1.8927540019519903e-06,3.830693030146645e-06,7.75283479843683e-06,1.5690750195546882e-05,3.1756079950097045e-05,6.427026121945082e-05,0.0001300748229538269,0.0002632548747343355,0.0005327943371177331,0.00107830787920334,0.002182357809285572,0.0044168142509247174,0.008939069498213032,0.01809153814361842,0.036614968981663026,0.07410403376901689
30,65,11
1,43,1
11,60,1
20,65,58
8,63,248
38,67,158
9,62,459
47,68,63
10,61,40
17,63,136
0,61,1274
35,66,29
21,64,279
12,64,29
17,64,401
30,66,216
3,62,842
32,66,219
4,57,1
8,60,13
25,66,8
5,60,135
19,65,30
49,68,33
10,62,319
1,54,6
0,58,5350
16,63,255
11,63,742
2,53,1
1,59,2344
17,62,8
13,61,1
14,64,150
36,67,164
3,61,1926
4,62,1045
18,65,6
0,1,2
5,63,57
0,52,59
21,65,186
45,68,89
51,68,3
0,6,2
28,66,165
2,54,1
14,61,2
46,68,49
12,61,11
18,62,1
42,67,23
20,63,25
12,62,191
3,56,2
7,59,2
14,63,418
50,69,23
59,69,1
56,69,11
0,49,9
29,66,202
1,60,4002
23,65,310
7,60,12
2,59,557
42,68,74
48,68,31
3,55,1
41,67,89
9,61,72
52,69,28
0,46,9
32,65,4
40,67,130
2,60,1860
1,56,89
4,58,5
44,68,76
8,61,126
25,65,326
0,8,1
5,59,17
19,64,443
27,66,89
51,69,19
10,63,318
1,53,4
0,59,7177
33,67,21
11,62,407
1,58,756
57,69,5
58,69,2
34,65,1
3,60,797
41,68,37
0,5,5
0,7,6
5,62,997
19,63,50
27,65,195
0,53,65
6,61,393
26,64,8
0,56,1098
11,61,30
2,55,3
0,43,6
53,69,19
34,66,114
18,63,67
13,63,567
3,59,130
44,67,1
1,57,232
24,64,40
43,68,74
0,50,9
6,62,935
29,65,42
23,64,62
7,63,177
31,66,257
2,56,6
22,63,2
15,62,28
37,67,153
55,69,9
48,69,3
3,54,1
0,4,2
43,67,5
9,60,6
6,59,5
1,62,93
22,65,294
31,65,8
2,61,2672
4,59,46
20,64,347
8,62,571
25,64,9
5,58,3
0,55,572
9,63,298
24,65,347
10,60,2
1,52,2
0,60,5629
33,66,159
35,67,136
0,47,8
2,62,504
50,68,9
11,64,6
3,63,1
16,64,389
8,59,1
22,64,151
19,62,2
49,69,16
0,44,5
26,65,331
1,55,38
0,57,2119
16,62,19
4,60,356
5,61,693
12,63,707
34,67,88
13,62,92
36,66,11
3,58,34
13,64,102
4,61,1127
18,64,368
0,0,1
0,54,272
0,45,3
0,51,22
6,63,115
20,62,1
54,69,14
26,66,41
0,38,1
7,62,770
21,63,7
28,65,117
2,57,41
10,64,1
0,41,1
4,63,15
23,63,1
39,67,142
3,57,5
14,62,48
15,64,194
15,63,261
40,68,7
0,48,4
6,60,57
1,61,2810
7,61,213
2,58,128
