# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
20,63,36.44,0.0008985969023420777,25
12,62,14.361256544502618,0.0004245482288191073,191
3,56,4.0,5.80676087644797e-06,2
7,59,8.0,5.1322622330143074e-05,2
14,63,18.444976076555022,0.0008412001858959728,418
50,69,1206.1739130434783,0.04001538529703211,23
59,69,3205.0,0.07410403376901717,1
56,69,2401.3636363636365,0.06175282232811556,11
0,49,1.0,3.5070589213980694e-08,9
29,66,105.61881188118812,0.005450378692485268,202
1,60,2.0,9.514168896491338e-05,4002
23,65,52.4741935483871,0.002817476748885892,310
7,60,8.0,0.00010621620499335726,12
2,59,3.0,5.036695733473498e-05,557
42,68,475.8918918918919,0.019972960602705526,74
48,68,932.7741935483871,0.0330551610918918,31
3,55,4.0,2.5355181887459515e-06,1
41,67,420.30337078651684,0.016413763733509126,89
9,61,10.0,0.00022093702540227129,72
52,69,1469.3214285714287,0.045073770285338786,28
0,46,1.0,4.663677800416698e-09,9
32,65,143.0,0.004190783153254266,4
40,67,371.1923076923077,0.015438888617501857,130
2,60,3.0,9.849731133759435e-05,1860
1,56,2.0,5.6916789011551244e-06,89
4,58,5.0,2.4746701006311853e-05,5
44,68,594.5657894736842,0.02284077767558198,76
8,61,9.0,0.00021369551776688085,126
25,65,65.74233128834356,0.003338524039729745,326
0,8,1.0,6.745472258333307e-21,1
5,59,6.0,5.088004369342612e-05,17
19,64,32.37471783295711,0.0016355353942340434,443
27,66,84.56179775280899,0.0048656914075140365,89
51,69,1330.421052631579,0.04224154629088056,19
10,63,11.0,0.0006675106902781124,318
1,53,2.0,6.197462099276829e-07,4
0,59,1.0,4.6776328676547175e-05,7177
33,67,170.0,0.009347151631558567,21
11,62,12.444717444717444,0.0004281406815789896,407
1,58,2.0,2.4757244072224776e-05,756
57,69,2588.8,0.06562721252462522,5
58,69,2970.5,0.07182385003862463,2
34,65,177.0,0.003977700343695796,1
3,60,4.0,0.00010156501636983303,797
41,68,430.1621621621622,0.01930565574429177,37
0,5,1.0,6.996102799575502e-22,5
0,7,1.0,2.9192798520386846e-21,6
5,62,6.0,0.00036452154762694783,997
19,63,31.96,0.000926922992072024,50
27,65,82.8974358974359,0.003763374294212186,195
0,53,1.0,6.8983067114339e-07,65
6,61,7.0,0.00020821195803295202,393
26,64,74.375,0.0019465894101126345,8
0,56,1.0,5.8164843914330904e-06,1098
11,61,12.533333333333333,0.0002160667774300445,30
2,55,3.0,2.4175769385525504e-06,3
0,43,1.0,6.227663200319466e-10,6
53,69,1677.8947368421052,0.05000134181628885,19
34,66,185.4298245614035,0.008081322371825156,114
18,63,28.970149253731343,0.0008543287178870786,67
13,63,16.44973544973545,0.0008050529398455218,567
3,59,4.0,5.153267428196119e-05,130
44,67,592.0,0.017856347954545857,1
1,57,2.0,1.210803985880112e-05,232
24,64,58.0,0.0019164783899727257,40
43,68,530.1891891891892,0.0215677231572749,74
0,50,1.0,9.524896985571518e-08,9
6,62,7.0,0.00038244045150085006,935
29,65,103.5952380952381,0.003925966992652582,42
23,64,51.935483870967744,0.0019285483152311513,62
7,63,8.0,0.0006068250111895344,177
31,66,132.6770428015564,0.006434369211208699,257
2,56,3.0,5.962191689846801e-06,6
22,63,46.5,0.0008945760995985143,2
15,62,20.285714285714285,0.00044572655611329807,28
37,67,264.2156862745098,0.012016069237359933,153
55,69,2110.5555555555557,0.05697552161169936,9
48,69,975.0,0.03807224309074219,3
3,54,4.0,1.811707071950516e-06,1
0,4,1.0,2.4584194207606753e-22,2
43,67,521.8,0.016640772656697136,5
9,60,10.0,0.00011343379731752839,6
6,59,7.0,5.440811719734643e-05,5
1,62,2.0,0.0002842734187787688,93
22,65,46.605442176870746,0.002585556593670571,294
31,65,131.25,0.0038885898061431848,8
2,61,3.0,0.00018436693463522698,2672
4,59,5.0,5.0757426736246094e-05,46
20,64,36.46974063400577,0.0017296044746131895,347
8,62,9.0,0.00040602360220878657,571
25,64,65.11111111111111,0.0020103377586860134,9
5,58,6.0,2.4706893687014447e-05,3
0,55,1.0,2.858380600449884e-06,572
9,63,10.0,0.0006518991331705533,298
24,65,58.54755043227666,0.003046572441530318,347
10,60,11.0,0.00012297981661370418,2
1,52,2.0,3.2823368274656567e-07,2
0,60,1.0,8.920380010923721e-05,5629
33,66,166.32704402515722,0.007536038416449958,159
35,67,210.2941176470588,0.01023290373450845,136
0,47,1.0,9.264258307059276e-09,8
2,62,3.0,0.00030745589507192716,504
50,68,1195.111111111111,0.03418148216059693,9
11,64,12.666666666666666,0.0011135349654182987,6
3,63,4.0,0.0005414597656522926,1
16,64,23.12082262210797,0.0013252195419910498,389
8,59,9.0,4.488229619737228e-05,1
22,64,46.2317880794702,0.0018614421503378564,151
19,62,31.5,0.0004934945818717454,2
49,69,1073.6875,0.03867284544718869,16
0,44,1.0,8.770337026405772e-10,5
26,65,73.809667673716,0.0035831412272048454,331
1,55,2.0,3.0719820345876217e-06,38
0,57,1.0,1.1809802067978426e-05,2119
16,62,22.63157894736842,0.00044742896697950833,19
4,60,5.0,0.00010540073131589055,356
5,61,6.0,0.00020413461713738977,693
12,63,14.475247524752476,0.000759916836865688,707
34,67,187.6590909090909,0.009516286119036649,88
13,62,16.369565217391305,0.0004285832756338735,92
36,66,232.54545454545453,0.008123753468267873,11
3,58,4.0,2.5483078573316927e-05,34
13,64,16.65686274509804,0.0011875058396319063,102
4,61,5.0,0.00019670681520789118,1127
18,64,28.940217391304348,0.0015248870357594064,368
0,0,1.0,2.73539067263042e-23,1
0,54,1.0,1.4764722348782457e-06,272
0,45,1.0,2.1497114712490574e-09,3
0,51,1.0,1.665740788717814e-07,22
6,63,7.0,0.0005921640518360472,115
20,62,35.0,0.0004961820237461877,1
54,69,1871.642857142857,0.054154270549174356,14
26,66,74.41463414634147,0.004667690507623845,41
0,38,1.0,1.975660556475185e-11,1
7,62,8.0,0.0003923683974383613,770
21,63,41.42857142857143,0.0008634617454538309,7
28,65,93.17948717948718,0.0039039635945410382,117
2,57,3.0,1.21452873694633e-05,41
10,64,11.0,0.0011418791282020184,1
0,41,1.0,1.7579524762927696e-10,1
4,63,5.0,0.0005477254053490274,15
23,63,50.0,0.0006750794434588643,1
39,67,331.8098591549296,0.014393218424028858,142
3,57,4.0,1.3571001150490077e-05,5
14,62,18.333333333333332,0.00044102249802552756,48
15,64,20.443298969072163,0.0012680002236196202,194
15,63,20.50574712643678,0.0008661723447600007,261
40,68,376.85714285714283,0.01855252529557949,7
0,48,1.0,2.047042602176195e-08,4
6,60,7.0,0.00010606264503159606,57
1,61,2.0,0.00017416616501718244,2810
7,61,8.0,0.00021104866520513303,213
2,58,3.0,2.4363676448773003e-05,128
